MRT_Line,Bus_ServiceNo,Bus_Route_Length_m,Overlap_Length_m,Coverage_Percentage,Consecutive_Coverage_Percentage,Max_Consecutive_Segments,Weighted_Average_Angle,Weighted_Average_Score
Sengkang LRT,102B,3682.032540099498,2942.0979138780963,28.57142857142857,25.0,1.0,61.9,33.80857142857143
Bukit Panjang LRT,972M,36598.676848289244,9644.545485887205,50.0,8.108108108108109,3.0,50.1,33.263243243243245
Punggol LRT,3,15987.402634806735,4724.472305974422,33.33333333333333,18.75,3.0,59.8,32.79333333333334
Sengkang LRT,163,17724.889316476587,4570.671514672329,42.857142857142854,5.555555555555555,1.0,64.3,32.22507936507937
Bukit Panjang LRT,975C,16980.660182323823,3204.25889479136,50.0,5.88235294117647,1.0,48.5,32.05294117647059
Bukit Panjang LRT,975,33732.482499150414,6302.597548919854,50.0,5.88235294117647,2.0,48.5,32.05294117647059
Sengkang LRT,85,15938.50151409439,4634.107901826914,42.857142857142854,6.25,1.0,58.6,31.362857142857145
Sengkang LRT,50A,10289.61218340782,4556.260336341324,42.857142857142854,9.090909090909092,1.0,52.3,31.23922077922078
North-South,904,6213.2046457256365,6213.204645725635,4.761904761904762,57.14285714285714,4.0,31.6,31.081904761904763
Bukit Panjang LRT,972A,16918.302005030055,4537.338563588434,33.33333333333333,17.647058823529413,3.0,53.1,31.012156862745098
North-South,991A,1343.3544128217784,893.9639524530261,2.380952380952381,50.0,1.0,49.4,30.83238095238095
North-South,945,5415.555351948564,5331.698918467224,2.380952380952381,50.0,3.0,49.2,30.792380952380952
Sengkang LRT,50,16942.807179282932,4816.753823566857,42.857142857142854,5.88235294117647,1.0,54.7,30.43579831932773
Bukit Panjang LRT,307T,3836.791918383511,3836.791918383511,33.33333333333333,25.0,1.0,34.9,30.313333333333333
North-South,992,1796.961417951983,673.7608511285067,2.380952380952381,50.0,1.0,46.6,30.272380952380953
Circle,10,29465.954966863977,14233.891412877012,25.71428571428571,23.333333333333332,7.0,52.5,30.11904761904762
Punggol LRT,384,4509.612084797705,4214.856894907421,33.33333333333333,20.0,1.0,43.9,30.11333333333333
North-South,991B,1481.883584656546,1481.883584656546,2.380952380952381,50.0,1.0,45.6,30.072380952380954
North-South,159B,1310.8611187595284,871.935617065032,2.380952380952381,50.0,1.0,44.9,29.932380952380953
East-West,292,4845.120280945178,4216.571620100114,1.9607843137254901,60.0,3.0,21.0,28.984313725490196
Punggol LRT,386A,2230.9771023055832,2019.3801234058271,16.666666666666664,33.33333333333333,1.0,42.3,28.46
Sengkang LRT,86,12793.803203728243,6040.566531996476,28.57142857142857,7.6923076923076925,1.0,67.1,27.925494505494505
Sengkang LRT,85A,10971.779221356623,2900.482623158297,28.57142857142857,9.090909090909092,1.0,62.9,27.644935064935066
North-South,990,9522.09097950461,7320.124954933953,4.761904761904762,40.0,4.0,48.3,27.564761904761905
Downtown,67,30761.463661661237,19834.301858807557,17.5,19.35483870967742,6.0,63.7,27.48193548387097
Cross Island,114,3755.500572446714,3079.0336955411685,4.545454545454546,50.0,2.0,28.3,27.47818181818182
Circle,57,19299.12003946031,8045.6142499123,17.142857142857142,25.0,5.0,51.0,27.057142857142857
Cross Island,112A,3991.852191526769,2315.3550076716792,4.545454545454546,50.0,2.0,25.1,26.83818181818182
Bukit Panjang LRT,972,34503.30439651207,9130.725620400985,33.33333333333333,8.571428571428571,3.0,50.1,26.781904761904762
Bukit Panjang LRT,920,6719.635568682847,6138.347396758025,33.33333333333333,14.285714285714285,1.0,37.0,26.44761904761905
Bukit Panjang LRT,190A,16099.406547333549,4019.525418519827,33.33333333333333,5.88235294117647,1.0,53.7,26.426274509803925
Circle,91,4749.668386742104,4749.668386742104,5.714285714285714,40.0,2.0,38.4,25.965714285714284
North-East,45A,1764.569099402489,1079.2921429800335,4.761904761904762,50.0,1.0,19.6,25.824761904761907
North-South,859T,6901.8597465557505,4730.213059745445,7.142857142857142,42.857142857142854,3.0,26.9,25.38
North-South,882A,1439.7605402477418,849.6981470379744,2.380952380952381,50.0,1.0,22.1,25.372380952380954
East-West,240A,1424.8586351033296,574.1552350628426,3.9215686274509802,50.0,1.0,17.6,25.088627450980393
Downtown,852,21916.782848835563,6490.149538016277,7.5,31.818181818181817,7.0,46.2,24.96727272727273
Thomson East Coast,158A,9716.071199937729,4650.73310164107,5.263157894736842,40.0,4.0,34.3,24.965263157894736
North-East,666,20838.567157741938,9817.709349368522,19.047619047619047,9.523809523809524,2.0,67.3,24.88857142857143
Sengkang LRT,102,22426.85164983932,10964.60888563907,28.57142857142857,4.3478260869565215,1.0,57.7,24.70770186335404
Jurong Region,51A,2610.9034728282204,2315.2308836571924,5.88235294117647,33.33333333333333,1.0,44.2,24.526274509803923
Jurong Region,199,9731.601788281645,6742.793072926739,23.52941176470588,20.0,2.0,35.1,24.431764705882355
Circle,30,32624.14942012272,13001.411239460747,17.142857142857142,18.181818181818183,6.0,51.4,24.409870129870132
Jurong Region,333,6560.938008297976,5162.935426067685,11.76470588235294,28.57142857142857,2.0,40.8,24.294453781512605
Jurong Region,78A,5186.646828106051,2388.4273975592514,5.88235294117647,33.33333333333333,2.0,42.1,24.10627450980392
North-South,983M,2112.1834605081613,1640.5436306316442,2.380952380952381,33.33333333333333,1.0,49.0,24.085714285714285
Circle,143,25253.551958927812,8303.883875993994,14.285714285714285,19.230769230769234,5.0,53.1,24.02659340659341
Downtown,60T,5922.9153509570915,3649.5927013035825,5.0,33.33333333333333,2.0,42.6,23.85333333333333
North-South,231,5566.816894324513,4889.035028608618,2.380952380952381,33.33333333333333,2.0,46.2,23.525714285714287
North-South,232,5556.888035090133,3680.376653650104,2.380952380952381,33.33333333333333,2.0,45.5,23.385714285714286
North-South,167,27389.091885337468,9231.353410235115,11.904761904761903,17.857142857142858,5.0,56.7,23.24476190476191
Circle,191,5865.008364968439,3480.623002316448,5.714285714285714,33.33333333333333,2.0,38.1,23.239047619047618
Circle,200A,6631.676128600394,5149.985260543412,11.428571428571429,28.57142857142857,2.0,36.0,23.2
Sengkang LRT,969A,18350.740475888466,4586.310989153674,28.57142857142857,5.263157894736842,1.0,47.9,23.113834586466165
North-South,991,9559.630375305649,5683.260738541558,11.904761904761903,20.0,2.0,50.8,22.921904761904763
Punggol LRT,84W,5231.193672101262,4779.877334635877,16.666666666666664,16.666666666666664,1.0,47.1,22.75333333333333
Downtown,961M,34271.9525205817,15758.02715902806,27.500000000000004,5.714285714285714,2.0,46.9,22.665714285714287
Downtown,65,21793.27784754963,13436.020295311566,20.0,13.636363636363635,3.0,46.0,22.654545454545456
Jurong Region,179,7984.510854863147,3322.358191102514,11.76470588235294,25.0,2.0,39.5,22.60588235294118
North-South,979,10080.788183745488,5104.260294017682,7.142857142857142,27.27272727272727,3.0,44.0,22.566233766233765
Punggol LRT,39B,7420.013656991576,3260.4433397945045,16.666666666666664,12.5,1.0,54.2,22.506666666666668
Jurong Region,79T,10006.09911372469,3868.224368597847,17.647058823529413,18.181818181818183,2.0,40.8,22.491550802139038
Circle,95,9090.64718950066,5887.551440414034,5.714285714285714,30.0,3.0,39.0,22.08571428571429
North-East,82,15585.075286678508,11651.824687071825,19.047619047619047,18.75,3.0,34.8,22.07904761904762
Circle,92,10465.535539399183,5842.250801247614,8.571428571428571,27.27272727272727,3.0,38.1,21.957662337662338
North-East,107,13478.721760219702,6654.185073816652,14.285714285714285,14.285714285714285,2.0,52.5,21.92857142857143
Circle,158,21533.510975439887,11911.648738998245,14.285714285714285,18.181818181818183,4.0,44.3,21.847012987012988
Jurong Region,243G,3918.1963883104763,2669.78392086843,11.76470588235294,25.0,1.0,35.6,21.82588235294118
Downtown,125A,2267.7929978810225,1429.4874417462515,2.5,33.33333333333333,1.0,37.0,21.733333333333334
North-South,913M,8741.84598905003,6468.287305621436,4.761904761904762,33.33333333333333,3.0,32.3,21.698095238095238
North-East,107M,22583.28546291204,13658.95650327624,19.047619047619047,13.043478260869565,3.0,44.3,21.696438923395444
Jurong Region,160A,3686.5961200411066,2127.82482555919,5.88235294117647,25.0,1.0,46.6,21.672941176470587
Jurong Region,249A,6750.611440595148,3601.9604351196917,17.647058823529413,14.285714285714285,1.0,44.1,21.59310924369748
North-East,146,4233.231282371272,3017.0286701026816,4.761904761904762,40.0,2.0,18.0,21.504761904761907
Thomson East Coast,900,6377.9410635289105,4481.074298022046,5.263157894736842,28.57142857142857,2.0,39.4,21.413834586466166
East-West,241,4931.493342403634,3106.6452995204572,3.9215686274509802,40.0,2.0,19.2,21.408627450980394
Punggol LRT,382W,4320.9784738510725,3086.3375676411056,16.666666666666664,20.0,1.0,33.6,21.386666666666667
Punggol LRT,382,4353.860499717232,3313.7559081575937,16.666666666666664,20.0,1.0,33.5,21.366666666666667
Thomson East Coast,150,5858.431458964868,1992.987510581071,2.631578947368421,33.33333333333333,2.0,34.6,21.3059649122807
Circle,200,13259.800861955442,10381.093564691013,14.285714285714285,21.428571428571427,3.0,35.1,21.305714285714284
Punggol LRT,39A,10009.576733008686,3420.814122648343,16.666666666666664,9.090909090909092,1.0,55.0,21.303030303030305
North-East,53M,5418.481565757606,2510.168952199702,9.523809523809524,33.33333333333333,2.0,20.5,21.242857142857144
Downtown,961,32571.02091353537,14040.258352198085,22.5,6.0606060606060606,2.0,48.9,21.204242424242423
Downtown,170,30017.43088102388,15308.981904814325,17.5,9.67741935483871,3.0,51.1,21.090967741935486
Thomson East Coast,132,21353.278341126483,9413.078553059262,18.421052631578945,13.636363636363635,3.0,41.2,21.06296650717703
North-South,71,15062.33513758788,8232.234314881905,9.523809523809524,18.75,3.0,48.6,21.02952380952381
Punggol LRT,382G,4391.943218402585,3351.8386268429467,16.666666666666664,20.0,1.0,31.8,21.026666666666667
Circle,30e,20516.083508728112,11191.731556250821,11.428571428571429,14.285714285714285,3.0,53.1,20.90571428571429
Thomson East Coast,16,18738.782328205652,7417.5298621491675,15.789473684210526,15.789473684210526,3.0,40.7,20.771578947368422
Cross Island,114A,2079.1304567289644,1610.5033392935788,4.545454545454546,33.33333333333333,1.0,28.0,20.75151515151515
North-South,183B,3570.615761835056,1885.398517642756,2.380952380952381,25.0,1.0,47.8,20.51238095238095
East-West,51,34299.2020730596,14245.71187298033,9.803921568627452,8.571428571428571,3.0,65.6,20.47014005602241
Thomson East Coast,196e,11257.824922592308,8925.605262909421,15.789473684210526,16.666666666666664,2.0,37.4,20.462456140350877
Thomson East Coast,16M,19142.933769919295,7417.5298621491675,15.789473684210526,15.0,3.0,40.7,20.455789473684213
East-West,105,25886.71334637706,8779.05850126426,11.76470588235294,7.6923076923076925,2.0,63.1,20.402805429864255
Thomson East Coast,269,6776.406409920676,4076.5062298744074,2.631578947368421,28.57142857142857,2.0,39.3,20.341203007518796
Bukit Panjang LRT,171,26155.38469058566,5645.426786789301,16.666666666666664,14.814814814814813,4.0,38.2,20.232592592592592
East-West,185,15853.23268999468,6334.494750576738,11.76470588235294,12.5,2.0,52.1,20.12588235294118
Jurong Region,172,12722.528337984986,3445.062659614854,23.52941176470588,7.6923076923076925,1.0,38.0,20.08868778280543
East-West,9A,6982.1934335686055,4637.794279899203,9.803921568627452,28.57142857142857,2.0,22.8,19.91014005602241
Jurong Region,243W,4000.9892701544245,2714.868097605223,11.76470588235294,20.0,1.0,35.7,19.845882352941178
Thomson East Coast,138,25316.504237761583,10455.184244475859,10.526315789473683,15.384615384615385,4.0,47.4,19.84437246963563
Circle,131,17641.855876533034,6673.591008757612,14.285714285714285,5.555555555555555,1.0,59.2,19.77650793650794
Circle,97,18817.345209287054,9369.92336331765,14.285714285714285,10.526315789473683,2.0,48.6,19.644812030075187
North-South,131A,9746.452764577518,5039.353003992073,7.142857142857142,20.0,2.0,43.9,19.637142857142855
Jurong Region,242,4141.560872713472,3521.043928923492,11.76470588235294,20.0,1.0,34.5,19.60588235294118
Cross Island,109,20160.90189366494,8814.596825542987,13.636363636363635,9.523809523809524,2.0,51.5,19.564069264069264
Circle,156,23073.58286164635,6005.581565396265,11.428571428571429,12.5,3.0,49.9,19.551428571428573
Downtown,61,33237.08406064696,11739.77650729804,17.5,8.823529411764707,3.0,44.6,19.449411764705882
Downtown,228,8983.0979603073,6736.740743449382,5.0,22.22222222222222,2.0,42.1,19.308888888888887
North-East,62A,13963.844813207144,3341.165957782382,14.285714285714285,14.285714285714285,2.0,39.3,19.28857142857143
Jurong Region,79,20226.72887586048,7891.107157068259,17.647058823529413,9.523809523809524,2.0,42.1,19.288347338935573
Punggol LRT,39,24190.177056562217,3420.814122648343,16.666666666666664,4.0,1.0,55.0,19.266666666666666
East-West,63,33442.621666887135,22452.05997747128,13.725490196078432,5.88235294117647,2.0,56.0,19.043137254901964
Downtown,970,22410.902676447047,9257.54572812657,17.5,8.695652173913043,2.0,42.7,19.018260869565218
Downtown,137A,3709.868392404359,1479.3865646329123,2.5,25.0,1.0,40.0,19.0
Thomson East Coast,169B,3039.6981513925803,1200.9856046250518,2.631578947368421,25.0,1.0,39.6,18.972631578947368
Cross Island,72,15186.340769156588,4580.217663174267,13.636363636363635,12.5,2.0,42.4,18.934545454545454
North-South,947,4030.551120240825,2614.4350625977468,2.380952380952381,20.0,1.0,49.6,18.872380952380954
East-West,52,21697.949790150516,5364.289254239515,7.8431372549019605,9.090909090909092,2.0,59.7,18.713618538324422
Thomson East Coast,980,22536.933480775042,5125.689302961632,10.526315789473683,8.695652173913043,2.0,55.1,18.708787185354694
Downtown,5B,3381.2392446284,1647.1264494902366,2.5,25.0,1.0,38.5,18.7
Circle,166,26255.202152184418,9951.496888224705,17.142857142857142,7.4074074074074066,2.0,44.2,18.66010582010582
Circle,106,19535.987287222502,7517.568614841315,14.285714285714285,10.0,2.0,44.6,18.634285714285717
East-West,98A,2960.207397446955,1000.1460668684524,3.9215686274509802,33.33333333333333,1.0,18.3,18.561960784313726
Jurong Region,249,14592.396078976602,7071.070003102848,17.647058823529413,6.666666666666667,1.0,44.1,18.545490196078433
North-East,325,9460.045397047497,6529.880419196064,9.523809523809524,30.0,3.0,13.6,18.52952380952381
North-South,117A,3356.4541229599,1426.2440113489247,2.380952380952381,25.0,1.0,37.5,18.452380952380953
Downtown,8,15544.667289380148,7346.990175740271,10.0,12.5,2.0,47.0,18.4
Jurong Region,181,5074.947432491695,4788.4808468224655,11.76470588235294,16.666666666666664,1.0,35.0,18.372549019607842
North-East,80,20960.779324581068,9594.68578094773,9.523809523809524,9.523809523809524,2.0,53.7,18.359047619047622
Circle,93,22579.982576667324,8414.882502620849,17.142857142857142,4.3478260869565215,1.0,48.8,18.35627329192547
East-West,154A,2451.852352032764,689.9702717951974,3.9215686274509802,33.33333333333333,1.0,17.2,18.341960784313724
North-South,187,21476.538084868138,7076.629020621436,11.904761904761903,9.090909090909092,2.0,49.6,18.3182683982684
Thomson East Coast,901,4759.562513387835,4266.100248879768,5.263157894736842,20.0,1.0,40.8,18.265263157894736
Circle,95B,3565.123930252235,1978.3582567486624,2.857142857142857,25.0,1.0,35.5,18.242857142857144
Downtown,63M,10167.416595024952,6733.9581867287025,7.5,18.181818181818183,2.0,38.9,18.052727272727275
Downtown,661,19827.38714887872,7842.468248423682,12.5,10.0,2.0,44.7,17.94
Jurong Region,181M,5683.547588230546,5463.274892353447,11.76470588235294,16.666666666666664,1.0,32.8,17.93254901960784
East-West,198,18285.20817283229,8955.995599986976,7.8431372549019605,10.526315789473683,2.0,52.9,17.92778121775026
North-South,807A,3618.850716247456,752.8582862428004,2.380952380952381,25.0,1.0,34.6,17.872380952380954
Downtown,23,27525.88000508316,20418.64629301547,17.5,7.142857142857142,2.0,39.6,17.77714285714286
Sengkang LRT,110,34327.188719724574,8545.301895521323,14.285714285714285,2.857142857142857,1.0,54.5,17.75714285714286
Downtown,184,20775.261198800257,11352.958859567994,10.0,14.285714285714285,3.0,40.2,17.754285714285714
East-West,63A,16333.890553811718,11151.318290811403,9.803921568627452,5.88235294117647,1.0,57.3,17.73450980392157
Thomson East Coast,138A,12629.665596803827,5187.162265432089,5.263157894736842,15.384615384615385,2.0,47.3,17.71910931174089
North-East,64,27108.23106320999,9992.016301509171,14.285714285714285,7.142857142857142,2.0,45.5,17.67142857142857
Downtown,157,22097.20481469731,5895.425285152967,7.5,13.043478260869565,3.0,47.0,17.617391304347827
North-South,162,17878.534219737376,8278.1212828273,9.523809523809524,11.11111111111111,2.0,46.8,17.613968253968252
Circle,502A,24555.671286098313,5771.624512635393,14.285714285714285,8.0,2.0,43.2,17.554285714285715
North-East,147,25623.930616318463,10685.88344005133,14.285714285714285,3.8461538461538463,1.0,51.4,17.532747252747253
Cross Island,43M,16991.046621008,9266.03843125258,13.636363636363635,11.76470588235294,2.0,36.8,17.52042780748663
North-East,62,30282.467377813442,6940.571863861738,14.285714285714285,6.451612903225806,2.0,46.0,17.49493087557604
East-West,96A,3683.643325360924,1502.8227853334663,1.9607843137254901,25.0,1.0,33.2,17.424313725490197
Cross Island,6,10097.13847287611,4280.330173323844,9.090909090909092,18.181818181818183,2.0,32.5,17.40909090909091
Downtown,94A,4344.118769496251,1041.4120607196578,2.5,20.0,1.0,42.0,17.4
North-East,101,13267.620332098084,9497.219718096789,14.285714285714285,14.285714285714285,2.0,29.8,17.38857142857143
Downtown,59,23268.640017473008,9764.930732528406,10.0,8.333333333333332,2.0,50.1,17.353333333333335
Circle,410W,7822.362312269525,3496.397179467319,5.714285714285714,12.5,1.0,50.1,17.305714285714288
Thomson East Coast,47,19323.8292505502,8762.332808415733,7.894736842105263,15.0,3.0,40.4,17.237894736842108
North-South,56,9429.596668758853,5594.312416676514,7.142857142857142,10.0,1.0,51.9,17.237142857142857
North-South,941,5312.523083910216,2621.2213721791277,2.380952380952381,16.666666666666664,1.0,48.0,17.219047619047622
Cross Island,324,3156.4836301596124,2541.157538290938,4.545454545454546,25.0,1.0,27.0,17.21818181818182
Cross Island,159A,7364.373394842857,4011.7588500356187,9.090909090909092,12.5,1.0,42.8,17.196363636363635
North-South,307A,5323.891368678425,4932.663224565346,4.761904761904762,16.666666666666664,1.0,43.1,17.191428571428574
North-South,124,15816.565389100102,6087.5677836768045,7.142857142857142,12.5,2.0,46.6,17.177142857142858
East-West,196,27767.692168184352,10216.683544289317,7.8431372549019605,7.142857142857142,2.0,55.8,17.15439775910364
Jurong Region,179A,7251.579630250195,3539.6067668405194,11.76470588235294,12.5,1.0,37.2,17.14588235294118
Circle,70,21488.77995983815,11059.00378833805,8.571428571428571,9.090909090909092,2.0,50.3,17.124935064935066
Downtown,133,15610.262787539445,7258.611857671856,7.5,12.5,2.0,45.0,17.0
North-South,912M,4745.58784505248,4507.534422008755,4.761904761904762,20.0,1.0,35.4,16.984761904761903
Jurong Region,194,6081.198809456304,4541.941223616568,5.88235294117647,14.285714285714285,1.0,44.5,16.9672268907563
North-South,811,12799.93458034272,7778.148451343514,9.523809523809524,15.384615384615385,2.0,34.9,16.943369963369964
North-South,811T,12799.93458034272,7778.148451343514,9.523809523809524,15.384615384615385,2.0,34.9,16.943369963369964
East-West,32,20959.67986459646,11409.782950528273,5.88235294117647,9.523809523809524,2.0,53.5,16.8624649859944
East-West,21A,3062.01665764968,1742.4720107581065,1.9607843137254901,25.0,1.0,30.3,16.844313725490196
Thomson East Coast,670,21698.89405977186,9554.927680494591,10.526315789473683,9.090909090909092,2.0,44.7,16.78688995215311
North-East,123M,7708.255434303579,3258.635880195364,4.761904761904762,25.0,2.0,24.4,16.784761904761904
Thomson East Coast,36B,25675.006849774065,17426.232322630003,13.157894736842104,7.6923076923076925,2.0,42.2,16.78008097165992
Downtown,60,12231.920996742083,6472.233305040981,5.0,15.384615384615385,2.0,43.1,16.773846153846154
North-South,859,13966.969225576504,9368.98045653606,7.142857142857142,21.428571428571427,3.0,26.7,16.768571428571427
Circle,410G,8245.96481762293,3596.814867586019,5.714285714285714,11.11111111111111,1.0,50.1,16.75015873015873
East-West,111,21092.163409388686,10775.048915725532,9.803921568627452,9.090909090909092,2.0,45.9,16.737932263814617
North-South,54,15103.10194704635,6111.504079928473,7.142857142857142,6.25,1.0,56.9,16.737142857142857
Downtown,177,9646.957592030258,4774.6860809835125,2.5,20.0,2.0,38.5,16.7
North-South,850E,19273.85273369399,9169.811619319147,7.142857142857142,5.0,1.0,59.1,16.677142857142858
East-West,145,19143.752769769042,10055.678495286304,11.76470588235294,5.0,1.0,49.7,16.64588235294118
Jurong Region,993,7336.205499057263,4309.641613473035,5.88235294117647,12.5,1.0,46.4,16.632941176470588
North-South,851e,17668.262216826795,12576.303450204829,7.142857142857142,5.555555555555555,1.0,57.3,16.53936507936508
North-South,663,20263.743410261526,7939.611734953998,7.142857142857142,4.761904761904762,1.0,58.7,16.501904761904765
North-South,86B,5465.546051662306,1313.6473421863247,2.380952380952381,16.666666666666664,1.0,44.3,16.47904761904762
North-South,858A,8155.530254852532,4852.477636554969,4.761904761904762,22.22222222222222,2.0,28.4,16.473650793650794
Circle,70A,19379.916050788324,10370.900865703514,5.714285714285714,10.0,2.0,50.9,16.465714285714284
Circle,97e,18567.509463086266,9304.013235407241,11.428571428571429,5.263157894736842,1.0,48.7,16.41669172932331
Thomson East Coast,36,44616.36445851761,22222.688024251012,13.157894736842104,4.444444444444445,2.0,46.7,16.38093567251462
North-South,86A,5380.591997541601,1141.3005556525518,2.380952380952381,16.666666666666664,1.0,43.7,16.35904761904762
North-South,807B,4801.188133397121,1935.1957033924662,2.380952380952381,20.0,1.0,37.0,16.352380952380955
North-South,141,8142.392116368868,2608.85178408912,4.761904761904762,11.11111111111111,1.0,49.9,16.329206349206352
Cross Island,81,29464.17208608469,11026.991015265818,9.090909090909092,6.666666666666667,2.0,50.1,16.323030303030304
Downtown,668,16516.69372823152,4729.99649524776,7.5,11.76470588235294,2.0,42.9,16.285882352941176
North-South,960,24478.867426809302,7719.948443007364,9.523809523809524,8.0,2.0,46.1,16.229523809523812
East-West,186,16189.98650565679,5579.582143376154,5.88235294117647,11.76470588235294,2.0,45.8,16.218823529411765
North-South,307,9160.683287061938,7283.969333616943,7.142857142857142,10.0,1.0,46.6,16.177142857142858
Downtown,5,28469.105274257297,11220.305565327146,12.5,6.896551724137931,2.0,41.9,16.138620689655173
Circle,11,7222.816315945229,4258.248950664888,2.857142857142857,12.5,1.0,49.7,16.082857142857144
Thomson East Coast,134,11883.039911586475,4962.1237526582845,5.263157894736842,16.666666666666664,2.0,36.4,16.0519298245614
North-South,652,16454.41811781865,6298.263353479579,4.761904761904762,5.88235294117647,1.0,58.8,16.017703081232494
North-South,811A,4203.451710954128,1720.4546325830695,4.761904761904762,20.0,1.0,30.3,15.964761904761906
North-South,912,13371.041296301715,11089.864697207106,9.523809523809524,14.285714285714285,2.0,32.2,15.963809523809525
East-West,2,24444.77643374008,15559.09751133807,9.803921568627452,8.0,2.0,44.2,15.961568627450983
Sengkang LRT,27A,9339.076220003823,2184.3007819913173,14.285714285714285,10.0,1.0,31.2,15.954285714285716
North-South,859B,3449.2755713022116,2558.1810361692174,2.380952380952381,25.0,1.0,25.0,15.952380952380953
Downtown,139,14603.585871534766,3304.6318375246756,7.5,13.333333333333334,2.0,37.9,15.913333333333334
East-West,180,19461.67669811143,8547.108483004566,3.9215686274509802,15.0,3.0,41.7,15.908627450980394
North-South,859A,3215.709293521909,2497.8192245817386,2.380952380952381,25.0,1.0,24.7,15.892380952380954
North-South,857A,6675.837953575757,3130.4491397755373,4.761904761904762,14.285714285714285,1.0,41.2,15.859047619047619
North-South,851,21757.37338487245,7794.79871541951,7.142857142857142,4.545454545454546,1.0,55.9,15.855324675324676
Cross Island,89,38696.75012734962,12015.304682697171,13.636363636363635,5.128205128205128,2.0,41.7,15.845827505827508
Downtown,518,50208.05221946256,17696.190029205205,17.5,3.9215686274509802,2.0,36.3,15.828627450980392
Cross Island,53,43566.49208256778,11026.991015265816,9.090909090909092,2.272727272727273,1.0,56.4,15.825454545454548
Cross Island,159,16671.168582885788,5044.324297129521,13.636363636363635,5.88235294117647,1.0,40.0,15.807486631016042
Downtown,857B,19239.222870268946,4623.7077328977975,10.0,10.0,2.0,39.0,15.8
Cross Island,88,21097.155930172838,5415.248683304621,13.636363636363635,4.545454545454546,1.0,42.4,15.752727272727274
Circle,70M,39038.921801784585,21335.866346706425,8.571428571428571,5.0,2.0,51.4,15.70857142857143
Downtown,291,8650.11268402259,5595.455168021017,7.5,11.11111111111111,1.0,41.3,15.704444444444444
Downtown,174,24775.864175896328,8976.747054891088,12.5,4.0,1.0,45.5,15.7
North-South,235,6662.3147317185785,3409.176787364802,2.380952380952381,14.285714285714285,1.0,45.1,15.686666666666667
East-West,502,48413.86804983523,20724.611092013667,7.8431372549019605,2.0408163265306123,1.0,58.6,15.67358143257303
Thomson East Coast,665,22978.673962006767,6727.221585253928,13.157894736842104,4.3478260869565215,1.0,43.1,15.622288329519453
North-South,962B,3716.6878895739123,1123.4468474684911,2.380952380952381,25.0,1.0,23.1,15.572380952380954
Downtown,982E,21086.957514443624,5384.482958141845,5.0,9.090909090909092,2.0,49.6,15.556363636363638
Downtown,151,23394.96939155615,6188.138691083845,7.5,8.333333333333332,2.0,46.0,15.533333333333335
